,cntSender,cntRecipient
Staylor Sde,4.0,1.0
Steve Targett Nag National Au,4.0,1.0
Stevehallock Qwest,4.0,1.0
Stolfi Michael Jpmorgan,4.0,1.0
Tax Team,4.0,1.0
Thejulles,4.0,1.0
Therese Candella,4.0,1.0
Thomas Kalb,4.0,1.0
Tidwellgreer Bfusa,4.0,1.0
Trefz,4.0,1.0
Ubsw Energy,4.0,1.0
Vince Crescenzi,4.0,1.0
Virginia Dennard,4.0,1.0
Vrl Pge,4.0,1.0
Wayne Morter,4.0,1.0
Whittneyskinner,4.0,1.0
Witness Him Juno,4.0,1.0
Yana Kristal,4.0,1.0
Acaperton Stargate,4.0,0.0
Adeller Ercot,4.0,0.0
Afield Mariner,4.0,0.0
Aleonard Caiso,4.0,0.0
Alex Ehuang,4.0,0.0
Alfred Koenig Cakoenig Hhw Law,4.0,0.0
Alice Gruber Cagruber Tindallfoster,4.0,0.0
Alisha Bp,4.0,0.0
Allison Firstconf,4.0,0.0
Amanda Talbot,4.0,0.0
Amelia Williams,4.0,0.0
Ameritrade,4.0,0.0
Amunet,4.0,0.0
Amy Eblumrosen Bakerbotts,4.0,0.0
Amy Hood Camy Ehood Ebrann,4.0,0.0
An Nationalpublishing,4.0,0.0
Anders Ryrfeldt,4.0,0.0
Andrea Walters Cawalters,4.0,0.0
Andy Colman Candy Spectronenergy,4.0,0.0
Angelia Guinara Cguinara,4.0,0.0
Anne Filas Cafilas Keyspanenergy,4.0,0.0
Anne Moisan Canne Emoisan Internationalsos,4.0,0.0
Annette Espencer Ubsw,4.0,0.0
Antigen Mailman Eenron,4.0,0.0
Apacheco Oneok,4.0,0.0
Arthur Donnell Caod Newsdata,4.0,0.0
Assignee Notification,4.0,0.0
Austin Roger Craustin Alleghenypower,4.0,0.0
Avantgo Ckc Kc Mx Eavantgo,4.0,0.0
Awitness,4.0,0.0
Barbara Ewaldrop Cox,4.0,0.0
Barry Crouch Cbcrouch,4.0,0.0
Bartlo Noel Cnoel Ebartlo Elpaso,4.0,0.0
Bays Rick Crbays Lockeliddell,4.0,0.0
Bcn3@Pge.Com,4.0,0.0
Bdmiller Nv,4.0,0.0
Becca Lynn Prodigy,4.0,0.0
Ben Humann,4.0,0.0
Ben Macklowe Cben Macklowegallery,4.0,0.0
Benjamin Wt,4.0,0.0
Bennettlb,4.0,0.0
Beth Conrad Cbethc Pandaenergy,4.0,0.0
Birgit Kamps Cbirgit Hiresynergy,4.0,0.0
Bj Cb Fsting Excite,4.0,0.0
Bo Enormark Ch Eabb,4.0,0.0
Bob Shiring Cbob Eshiring Rweamericas,4.0,0.0
Bockius Cted Ctedbockius Spherion,4.0,0.0
Bookspan Cbookspan Emsiweb,4.0,0.0
Borchart Gary Cgborchart Elt,4.0,0.0
Bournebj,4.0,0.0
Brad Fagan Cbfagan Paradigmbank,4.0,0.0
Bradmonovich Lockeliddell,4.0,0.0
Brain Clist List Ebrain,4.0,0.0
Breakingnews Ecnn,4.0,0.0
Breard Jump,4.0,0.0
Brendan Connellan,4.0,0.0
Brent Romero Cbromero Sdlintl,4.0,0.0
Brett Gosizk Cbgozz,4.0,0.0
Brian Oxley,4.0,0.0
Brian Verm,4.0,0.0
Brown Jason R Cjason Er Ebrown Conoco,4.0,0.0
Brown Stephen Cstephen Ebrown Rbcdain,4.0,0.0
Bruno Firstconf,4.0,0.0
Bsring Juno,4.0,0.0
Bstrong Winstead,4.0,0.0
Buy Com,4.0,0.0
Bwalker Hga,4.0,0.0
Calumninewslettereditor Ebus Eutexas,4.0,0.0
Canh Le Ccanhle,4.0,0.0
Carol Anne Brannan Ccabbie Unm,4.0,0.0
Casella Stephen Ny Int Cstephenc Manfinancial,4.0,0.0
Cassandra Dutton,4.0,0.0
Ccustomerservice Qwikfliks,4.0,0.0
Cdemuth Aei,4.0,0.0
Cdiaz Pdq,4.0,0.0
Cenergy Stgmc,4.0,0.0
Centered Engin Umich,4.0,0.0
Cerria Chuck Commodities Ny Cccerria Hess,4.0,0.0
Cgt Services Nisource,4.0,0.0
Charles Glazzard Ccglazzard Pdq,4.0,0.0
Cheryl L Thompson Ccheryltd Warrenelectric,4.0,0.0
Chiefphotoofficer Ofoto Csmile Smile Eofoto,4.0,0.0
Chihuaha That Crugdoctor,4.0,0.0
Christa Crossborderenergy,4.0,0.0
Cindy Hunt,4.0,0.0
Clatspud Clatskanie,4.0,0.0
Clifford Fcauthen Ci Emesa Eaz Eus,4.0,0.0
Cmcwhert Bankunited,4.0,0.0
Cmichael Edeluke Epwcglobal,4.0,0.0
Colleenfsilva,4.0,0.0
Cpflueger Suma,4.0,0.0
Csklarin Prioritycall,4.0,0.0
Csm@Haas.Berkeley.Edu,4.0,0.0
Ctamara El Eutsch Epwcglobal,4.0,0.0
Ctbnuser Ebus Eutexas,4.0,0.0
Cuisinepoll,4.0,0.0
Custserv Flowers,4.0,0.0
Cwarre Entergy,4.0,0.0
Daemon Concureworkplace,4.0,0.0
Daemon Ecajunusa,4.0,0.0
Dalvan Mediaone,4.0,0.0
Dan Salter Cdsalter Hgp,4.0,0.0
Darron Giron Cdgiron Err,4.0,0.0
Datek Ced Enicoll Em,4.0,0.0
Daveandsuecorp Dellnet,4.0,0.0
David Gail Cgaildavid Akllp,4.0,0.0
David Givens Cdgivens Intellibridge,4.0,0.0
David Richey Cdmcbr Sprintmail,4.0,0.0
David Se,4.0,0.0
David X Tedesco Cdtedesco,4.0,0.0
Dawn Rodriguez,4.0,0.0
Dberg,4.0,0.0
Dcrary Lsu,4.0,0.0
Dcrider,4.0,0.0
Debra Main Cmainerdj Compuserve,4.0,0.0
Dgrijns Tfsbrokers,4.0,0.0
Diane Allred Cdallred Bcm Etmc,4.0,0.0
Dizzieeee,4.0,0.0
Dombo Sheila Csdombo Mofo,4.0,0.0
Donna Clayson,4.0,0.0
Druke Neosoft,4.0,0.0
Dukais@Aol.Com,4.0,0.0
Durga Pipingtech,4.0,0.0
Eangler Tackle Shop Ctackleshop,4.0,0.0
Eddie Moses,4.0,0.0
Edgeconstruct,4.0,0.0
Edotson Nymex,4.0,0.0
Ejbutler,4.0,0.0
Eldonsellers,4.0,0.0
Elizabeth Bouldin Celizabeth Ebouldin Travelpark,4.0,0.0
Elliott Allan Callan Eelliott Enform,4.0,0.0
Elopez Bracepatt,4.0,0.0
Enchcoln Telusplanet,4.0,0.0
Energyforum Announcements For Baker Institute Forum Rice,4.0,0.0
Enronanywhere,4.0,0.0
Epp Marketing Dell,4.0,0.0
Es Nyirenda Casnyirenda Zesco Eco Ezm,4.0,0.0
Ets Information Risk Management,4.0,0.0
Executiveadvice,4.0,0.0
Eyeforenergy Cbruno,4.0,0.0
Ferrette Kathie Ckferrette Amunet,4.0,0.0
Fgetman Baycorpholdings,4.0,0.0
Fhlbnebraska Uswest,4.0,0.0
Fidler@Haas.Berkeley.Edu,4.0,0.0
Financial Trading,4.0,0.0
Fleetmarkets Fleet,4.0,0.0
Flowers Eflonetwork,4.0,0.0
Flyfree Milespree,4.0,0.0
Footlocker Com,4.0,0.0
Fraley,4.0,0.0
Gabe Luchetta Cgluchetta Caseshare,4.0,0.0
Gabriel Emelamed Ubsw,4.0,0.0
Garrettm Pdq Netimceanotes Maureen Garrett Cgarrettm,4.0,0.0
Garry Emcdaniel Amd,4.0,0.0
Gassholes Cchris Ekeahey Elpaso,4.0,0.0
Ggolez Magicatticclub,4.0,0.0
Ghosei Ruf Rice,4.0,0.0
Gilc Usmcoc,4.0,0.0
Gina Mcmahon Cgmcmahon Btuwatch,4.0,0.0
Global Agenda Economist,4.0,0.0
Global Change,4.0,0.0
Greenall Geri Cgeri Egreenall Elpaso,4.0,0.0
Greg Berry Cgberry Solutionsco,4.0,0.0
Greg Maliken Cmalikeng Natfuel,4.0,0.0
Gregory Harry Charry Egregory Elpaso,4.0,0.0
Grice Regan Cregan Egrice Wachovia,4.0,0.0
Grindal Corey,4.0,0.0
Groyer Cmta,4.0,0.0
Gsoasis,4.0,0.0
Gvfleming Flemingsystems,4.0,0.0
Hadolfsson Hudson Nyc,4.0,0.0
Hamby Terri Cterri Ehamby Elpaso,4.0,0.0
Hariyont Indosat Id,4.0,0.0
Hartstein,4.0,0.0
Helen Taylor,4.0,0.0
Helen Tunley,4.0,0.0
Henry Hu Chhu Elaw Eutexas,4.0,0.0
Herters Fhtml Admin Eovertonsonline,4.0,0.0
Houstonchronicle Metro Chron,4.0,0.0
Hudson Roeline Chudsonr Teai,4.0,0.0
Hughray Akllp,4.0,0.0
Ian Isanderson,4.0,0.0
Insite Datek,4.0,0.0
Integrated Solutions,4.0,0.0
Investinme,4.0,0.0
Iona Garygreene,4.0,0.0
Ireland,4.0,0.0
Izioautoemail Convene,4.0,0.0
Jaime Rocha Cjerocha Ev,4.0,0.0
James Bartie,4.0,0.0
James Ej Edailey Accenture,4.0,0.0
James R Conway Iii Cjconway Lemle,4.0,0.0
Jandmshelk,4.0,0.0
Janet Emulero Ubsw,4.0,0.0
Jason Mcmahon,4.0,0.0
Jason Rios,4.0,0.0
Jay Johnson,4.0,0.0
Jay Sonnenberg Cjsonnenberg Bracepatt,4.0,0.0
Jay Yparraguirre,4.0,0.0
Jayant Ekumar Esca,4.0,0.0
Jdoering Rcgroup,4.0,0.0
Jeff Deanna Harris,4.0,0.0
Jeff Young Cjeff Eyoung Paconsulting,4.0,0.0
Jeffrey Cochran,4.0,0.0
Jeffshaw,4.0,0.0
Jennd Pdq,4.0,0.0
Jennifer Heard Cjmaciasheard,4.0,0.0
Jgibson Coloradodlc,4.0,0.0
Jhartmann Ercot,4.0,0.0
Jill Dunlop Cjilld Cnrl,4.0,0.0
Jim James Crossen Cjcrossen Apx,4.0,0.0
Jmckechnie Tlngna,4.0,0.0
Jmichalek Tractebellng,4.0,0.0
Jmpa Dynegy,4.0,0.0
Joanne Garner,4.0,0.0
Jocelynn Kilbourne,4.0,0.0
Joe Faubion Juno,4.0,0.0
Joel Anderson,4.0,0.0
John Equattrocchi Weil,4.0,0.0
John Garibaldi Cjgaribaldi Hanoverco,4.0,0.0
John Montgomery Cjmont Rice,4.0,0.0
John R Riches Cjriches Cmsenergy,4.0,0.0
John Sides,4.0,0.0
Johncraig Taylor,4.0,0.0
Johnj Bcjlaw,4.0,0.0
Johnsonr Asme,4.0,0.0
Johnston Corinna Ccorinna Ejohnston Intria,4.0,0.0
Jonathan J Ross Cjross Susmangodfrey,4.0,0.0
Joni Fisher,4.0,0.0
Jordan Ew Ecowman Bakernet,4.0,0.0
Josabank Um Vremail,4.0,0.0
Jpw Duncanallen,4.0,0.0
Jrnels Sunvalley,4.0,0.0
Jshneer Interlog,4.0,0.0
Jstuart Luce,4.0,0.0
Judy Warhover,4.0,0.0
Juhani Aalto,4.0,0.0
Julie Nickell,4.0,0.0
Kalbacher Adrienne Cahkalbacher Njresources,4.0,0.0
Karen Gillespie Ckareng Accessrelocation,4.0,0.0
Karen Richardson Dom,4.0,0.0
Karla Compean,4.0,0.0
Kathy Fjaneway Eogresources,4.0,0.0
Katie Sammons Cksammons Susmangodfrey,4.0,0.0
Katryna Murtagh Ckatryna Emurtagh Morganstanley,4.0,0.0
Kdrouet Ckdrouet Iexalt,4.0,0.0
Kelly Schneider Ckellyschneider Alliant,4.0,0.0
Ken Adams Cken Eadams Intcx,4.0,0.0
Ken Fatur Em Fcnbd,4.0,0.0
Kenneth Jett Embanet,4.0,0.0
Kevin J Mcintyre Ckjmcintyre Jonesday,4.0,0.0
Kiddie Zafar,4.0,0.0
Kimberly Bates Ckbates Sequentenergy,4.0,0.0
Kimberly Smith,4.0,0.0
Kimmel Debra Bfi Cdebra Ekimmel Ssmb,4.0,0.0
Kishore Rajaram Ckishorer Inventx,4.0,0.0
Konur,4.0,0.0
Kopinski Family Cmkopinski Prodigy,4.0,0.0
Kristi Louthan,4.0,0.0
Kristi Voinis,4.0,0.0
Kseifert Kcc,4.0,0.0
Ksfisher Gpu,4.0,0.0
Kurt N Ckmn,4.0,0.0
Lamadrid Victor Cvictor Elamadrid Ubswenergy,4.0,0.0
Larry Swett,4.0,0.0
Laura Craft Clcraft Opt,4.0,0.0
Laura Jewett,4.0,0.0
Lawson Lisa Clisa Flawson Platts,4.0,0.0
Lblanchard Howard,4.0,0.0
Lcaiafa,4.0,0.0
Lcurry Kineticres,4.0,0.0
Ldplegge Swidlaw,4.0,0.0
Leanne Cleanne Integrityrs,4.0,0.0
Lee Allbritton Callbritton Clausman,4.0,0.0
Leslie Ferron Jones Neg Pge,4.0,0.0
Lettus Clettusb,4.0,0.0
Lew W Harpold Clharpold Lrmlaw,4.0,0.0
Lhost Ecc,4.0,0.0
Liliana Echiu Ubsw,4.0,0.0
Limonej Merchantenergy,4.0,0.0
Lisa Guilliams,4.0,0.0
Livelink Users,4.0,0.0
Lori Lenhart Clorinlenhart,4.0,0.0
Louis Ecaiafa Americas Ebnpparibas,4.0,0.0
Love Phillip Cphillip Em Elove,4.0,0.0
Lsutommy,4.0,0.0
Lund Peter Cpeter Elund Neg Epge,4.0,0.0
Lynda Pham,4.0,0.0
Lyndon Clark Corcasouth,4.0,0.0
Maillist Wsj Edowjones,4.0,0.0
Maksym Yegorychev,4.0,0.0
Malachi Karen Ckmalachi Howard,4.0,0.0
Mar Patricia Cpmar Mofo,4.0,0.0
Marc Sznajderman Cmarc Esznajderman Nbci,4.0,0.0
Marcella,4.0,0.0
Margaret Vaughan Cvaughan Generonconsulting,4.0,0.0
Marilyn Chalmers,4.0,0.0
Mark Epaling Accenture,4.0,0.0
Mark Kinkead,4.0,0.0
Mark Lavine,4.0,0.0
Marketplace Crosswalk,4.0,0.0
Markmuller Skytel,4.0,0.0
Martin Kurtovich,4.0,0.0
Martinez Louis Nafse Clouis Emartinez Compaq,4.0,0.0
Mary Alba,4.0,0.0
Mary Ebarker Ubsw,4.0,0.0
Mary Jo Ellen Cmaryjo Scfadvisors,4.0,0.0
Mary Turner Cmaryt Err,4.0,0.0
Masterson Greg Cgmasterson Hgi Fire,4.0,0.0
Mathew Gimble Cmgimble Err,4.0,0.0
Maureen Garrett Cmgarrett Mailbmc,4.0,0.0
Mblanco Calpine,4.0,0.0
Mbmailer Marketbrowser,4.0,0.0
Mbox Surecom,4.0,0.0
Mcdowell Shirley Cshirley Emcdowell,4.0,0.0
Mcmahon Mark Cmcmahonm Kochind,4.0,0.0
Mdjoseph Adamsbroadwell,4.0,0.0
Megan Rogers Cmegrogers,4.0,0.0
Memberlist Owner Scottpaul,4.0,0.0
Mercury Questia,4.0,0.0
Mertz Jeanette Cjmertz Caiso,4.0,0.0
Mezulis,4.0,0.0
Michael Bauer Cmbauer Keyspanenergy,4.0,0.0
Michael Childs Cmcc Fullenweider,4.0,0.0
Michael Do Cmqdo,4.0,0.0
Michael Flanigan,4.0,0.0
Michelle Schultz,4.0,0.0
Mihipolito Juno,4.0,0.0
Mike George Cgpw,4.0,0.0
Mike Horn,4.0,0.0
Milagros Velasquez,4.0,0.0
Mina Dioun,4.0,0.0
Minor Michelle Cmichelle Eminor Mirant,4.0,0.0
Mkang@Dttus.Com,4.0,0.0
Monfan Ruf Rice,4.0,0.0
Moore Leslie Cleslie Emoore Compaq,4.0,0.0
Morrisjhd,4.0,0.0
Mpieniazek Nyiso,4.0,0.0
Mqgress,4.0,0.0
Msimpson Wafs Cmsimpson,4.0,0.0
Munder List Cmunder Fweekly Blast,4.0,0.0
Naftcorp,4.0,0.0
Nagwa Elkachouty,4.0,0.0
Nancy Oehring,4.0,0.0
Nastynikky List Eemailbucks,4.0,0.0
New Power Company Einnovyx,4.0,0.0
Newcasinonow Cnewcasinonow,4.0,0.0
Nicole Pineda,4.0,0.0
Nikole Velde,4.0,0.0
Norm Thompson,4.0,0.0
Nytimes Ad Cannounce Ms Elga Enytimes,4.0,0.0
Oasis Services Oasissvcs Coasissvcs Apsc,4.0,0.0
Ochairm,4.0,0.0
Olga Herrera,4.0,0.0
Orders Imagestation,4.0,0.0
Orderwatch Dell,4.0,0.0
Orderwatch Mailstorm Ols Dell,4.0,0.0
Osualum Orst,4.0,0.0
Outbidnotice Ebay,4.0,0.0
Outlook Migration Team Corp Communications,4.0,0.0
Owner Agendas,4.0,0.0
Owner Cclist Nerc,4.0,0.0
Owner Highdesert,4.0,0.0
Owner Pjm Raarc,4.0,0.0
Owner Zev Program Arb,4.0,0.0
Pamela Maxwell Cpmaxwell Constellationmgt,4.0,0.0
Pamela Perry,4.0,0.0
Panowak Mooney Psinet,4.0,0.0
Partner Announcements Mp,4.0,0.0
Patricia Baughman Cbaughmanpatricia,4.0,0.0
Patsy Marc Newson,4.0,0.0
Paul Jordan,4.0,0.0
Paul Macgregor Cpaul Fmacgregor Transcanada,4.0,0.0
Penny Georgiou,4.0,0.0
Peter Atkins Cpatkins Skadden,4.0,0.0
Peter Keavey Cpkeavey,4.0,0.0
Petrochko Mona L Cmona El Epetrochko,4.0,0.0
Phil Glaessner Cpglaessner Enermetrix,4.0,0.0
Pichitphon Eammongkolchai,4.0,0.0
Pixxxievixxxen,4.0,0.0
Pksinghji,4.0,0.0
Plemme Nyiso,4.0,0.0
Poston Dudley Cdudley Eposton Williams,4.0,0.0
Prestojj,4.0,0.0
Priceline Ctravel Em,4.0,0.0
Primlmates,4.0,0.0
Promotions Usairways,4.0,0.0
Pserrano Epelectric,4.0,0.0
Rainey Sprynet,4.0,0.0
Rakjk,4.0,0.0
Ralph Censtrat,4.0,0.0
Ramona Epullin Exxon Esprint,4.0,0.0
Raper Ci Rocky Mount Nc,4.0,0.0
Raver Carrie Marie Ccraver Mayerbrown,4.0,0.0
Rdaugbjerg,4.0,0.0
Realbigdeal Crealbigdeal Postmasterglobal,4.0,0.0
Reid Stavinoha Creidstav Err,4.0,0.0
Rfatehi Adaytum,4.0,0.0
Rhoni Glynn,4.0,0.0
Richard L Moore Crmoore Ameramex,4.0,0.0
Rick Carey Crcarey Attbi,4.0,0.0
Rlcnet,4.0,0.0
Rleibow Kayescholer,4.0,0.0
Rlevine Fce,4.0,0.0
Rmfmckinne,4.0,0.0
Rob Krotee,4.0,0.0
Robbie Lewis,4.0,0.0
Robert Deshazo,4.0,0.0
Robert Wheeler Dell,4.0,0.0
Robin Zaleski Crobin Fzaleski Iroquois,4.0,0.0
Rodolfo Freyre At Enron_Development@Ccmail,4.0,0.0
Roger Sant Crsant Aesc,4.0,0.0
Ronniechan Hanglung,4.0,0.0
Roscoe Fiberpipe,4.0,0.0
Rpearson Oilstates,4.0,0.0
Rumaldo Lopez,4.0,0.0
Runnels David Cdavidrunnels Akllp,4.0,0.0
Russellmurrell,4.0,0.0
Russo Dianne Cdrusso Reliant,4.0,0.0
Ruth Schonfeld,4.0,0.0
Ryan Donovan,4.0,0.0
Saber Thaxton Csabert Att,4.0,0.0
Sailmail Cunard,4.0,0.0
Sally Mcelroy Csmcelroy Howellcorp,4.0,0.0
Sam Romero,4.0,0.0
Samberkovits,4.0,0.0
Samir Salama,4.0,0.0
Samuel Cooper,4.0,0.0
Sandy Hackman,4.0,0.0
Sarah Butt,4.0,0.0
Sarah Haden,4.0,0.0
Sasha Jacob,4.0,0.0
Savebig Csavebig Esparklist,4.0,0.0
Scott Emaxfield Dynegy,4.0,0.0
Scottsmith Masterword,4.0,0.0
Sctc,4.0,0.0
Sdemicco Mcgreevey,4.0,0.0
Sdillon Lucascareers,4.0,0.0
Seabron Adamson Cseabron Eadamson Frontiereconomics,4.0,0.0
Security Coordinator Csc Alliancerto,4.0,0.0
Sellrose,4.0,0.0
Senglander Tca,4.0,0.0
Seppieui,4.0,0.0
Service Eenergycentral,4.0,0.0
Service Harryanddavid,4.0,0.0
Service Zanybrainy,4.0,0.0
Servicebox Spedia,4.0,0.0
Shannon Daffern,4.0,0.0
Shapiro,4.0,0.0
Shari Wicks,4.0,0.0
Shayne Newell,4.0,0.0
Ship Confirm Amazon,4.0,0.0
Shipping Cdnow,4.0,0.0
Shirley Birch,4.0,0.0
Shockwave Games Cshockwave Mms Eshockwave,4.0,0.0
Shop,4.0,0.0
Silver Fund Mailing List Cdealers Thesilverfund,4.0,0.0
Simone Larose,4.0,0.0
Simonet Jon Mike Cmsimonet Siemens Emis Ees,4.0,0.0
Skydivespaceland,4.0,0.0
Sliebert Dcpud,4.0,0.0
Solutions Egreetings,4.0,0.0
Sonnia Reyes,4.0,0.0
Spiro Spirakis,4.0,0.0
Steepsavers Vailresorts,4.0,0.0
Stephanie Baker,4.0,0.0
Stephen Andrews,4.0,0.0
Stephen Fkruft Swissre,4.0,0.0
Steve H Lewis Cshl Ptrcom,4.0,0.0
Steve Susman Cssusman Susmangodfrey,4.0,0.0
Steven Smith,4.0,0.0
Steveswerd,4.0,0.0
Stockgenie Ccontact,4.0,0.0
Stocks Cbounce Stocknight P Lyris Estocknight,4.0,0.0
Stockselector,4.0,0.0
Stuckey Richard Bfi Crichard Ea Estuckey Ssmb,4.0,0.0
Suchman Mark Cmark Esuchman Bakerpetrolite,4.0,0.0
Sumit Bhattacharya Csumitb,4.0,0.0
Supatgiat,4.0,0.0
Support Cleonline,4.0,0.0
Support Llamacom,4.0,0.0
Support Stormsignal Csupport,4.0,0.0
Susan Barrick Csbarrick Questia,4.0,0.0
Susan Ferguson Csusanf Pandaenergy,4.0,0.0
Susan Garcia,4.0,0.0
Susanlindberg,4.0,0.0
Suzanne Fo Leary Timeinc,4.0,0.0
Sweetdeals Csweetdeals Streetmail,4.0,0.0
Swg Gaspur Swgas,4.0,0.0
Sylvia Lin Cslayerlin,4.0,0.0
Tamara Muffat Ctcm Jetson Euh,4.0,0.0
Tanya V,4.0,0.0
Tara Soyal,4.0,0.0
Tatiana Ev Ewaxler Eandersen,4.0,0.0
Tco Commercial Services Nisource,4.0,0.0
Td Waterhouse Ceservices Tdwaterhouse,4.0,0.0
Techserve Satyam In,4.0,0.0
Telecomm Analyst Multexinvestornetwork,4.0,0.0
Teobaldo Camejo Fdevelopment,4.0,0.0
Texas Ctexas Readynet,4.0,0.0
Thu Arnold,4.0,0.0
Tieoutadministrator Pwrteam,4.0,0.0
Tim Apbenergy,4.0,0.0
Tkent Kayescholer,4.0,0.0
Todb Metretekfl,4.0,0.0
Todd Creek,4.0,0.0
Todoc,4.0,0.0
Tom Hahn Ctom Ehahn Apbenergy,4.0,0.0
Tonya J Farmer Ctjfarmer Juno,4.0,0.0
Travel Priceline,4.0,0.0
Travelincentives,4.0,0.0
Trimlife Weight,4.0,0.0
Twayne Waynedirect,4.0,0.0
Ubsw Information Risk Management Ubswenergy,4.0,0.0
Ursula Emills Ubsw,4.0,0.0
Van Driel Dave Cdave Evandriel Neg Epge,4.0,0.0
Velma Gallant,4.0,0.0
Verlene Joseph,4.0,0.0
Vhuntley Kayescholer,4.0,0.0
Vic Gatto,4.0,0.0
Vicky Martinez,4.0,0.0
Vince V,4.0,0.0
Vu Kim Yen Ckimv Palacios Ek Etx Eus,4.0,0.0
Waggoner Terri Ctwaggoner Ercot,4.0,0.0
Wendy Labuda,4.0,0.0
Wendy Proctor,4.0,0.0
Wes Kersey Cwk Transcarriers,4.0,0.0
White J Jennifer Cjennifer Ewhite Oceanenergy,4.0,0.0
William Mccoy Cwilliam Emccoy Morganstanley,4.0,0.0
Williams Projects Ltd Cwilliams Eltd Attcanada,4.0,0.0
Wincash Play Keeps,4.0,0.0
Winner Announcements Cwinnerannouncements Eiwon,4.0,0.0
Wolfe Ccaboom Accessus,4.0,0.0
Rudy Acevedo,3.0,274.0
Dbaughm,3.0,130.0
Bridgette Anderson,3.0,86.0
Frank,3.0,84.0
Jay Wills,3.0,81.0
Mcconnell,3.0,78.0
Msmith,3.0,76.0
Brian Bierbach,3.0,70.0
Michael Terraso,3.0,70.0
Daniel Kang,3.0,69.0
Sbishop Gibbs Bruns,3.0,66.0
Andrea Guillen,3.0,63.0
Mark Dana,3.0,62.0
Nacey,3.0,61.0
David Oliver,3.0,58.0
Theresa Branney,3.0,57.0
Dan Pribble,3.0,50.0
Alove Cs,3.0,49.0
Trevino,3.0,49.0
Angeline Poon,3.0,43.0
Dmitchel Cwt,3.0,43.0
Holmes,3.0,42.0
Jkeiser,3.0,40.0
Cb Pres,3.0,38.0
Zac Mccarroll,3.0,38.0
James Javins,3.0,34.0
Jrogers Cinergy,3.0,33.0
Jalexander Gibbs Bruns,3.0,32.0
Rskerik Txu,3.0,32.0
Wynne,3.0,32.0
Chad Bruce,3.0,30.0
Hakeem Ogunbunmi,3.0,29.0
Joni Bollinger,3.0,29.0
Ktycholiz,3.0,29.0
Bob Mckinney,3.0,28.0
Djn Pkns,3.0,28.0
Tjfarmer Juno,3.0,28.0
Gary Buck,3.0,27.0
Jennifer Rudolph,3.0,26.0
Lamoss,3.0,26.0
Denetsosie,3.0,25.0
Arlanz Mexis,3.0,24.0
Poston,3.0,24.0
William Brown,3.0,24.0
Joslyn,3.0,23.0
Julie Ferrara,3.0,23.0
Jwatson Nwdiagnostic,3.0,23.0
Shirley Elliott,3.0,23.0
Carol St,3.0,22.0
Kelly Templeton,3.0,22.0
Troy Klussmann,3.0,22.0
Heizenrader,3.0,21.0
Matt Lorenz,3.0,21.0
Stacey Brewer,3.0,21.0
Chris Lambie,3.0,20.0
Drrichardson Cmsenergy,3.0,20.0
Mcginnis,3.0,20.0
Raj Thapar,3.0,20.0
Robin Kittel,3.0,20.0
Sandra Dial,3.0,20.0
Stevens,3.0,20.0
Dayem Khandker,3.0,19.0
Deming,3.0,19.0
Elizabeth Grant,3.0,19.0
Matthew Dawson,3.0,19.0
Adele Raspe,3.0,18.0
Alexander Mcelreath,3.0,18.0
Andrews Calpine,3.0,18.0
Cheryl Lantz,3.0,18.0
Richard Baumfield,3.0,18.0
The Pulse,3.0,18.0
Timothy Detmering,3.0,18.0
Bill Katzlaw,3.0,17.0
Rmr Vcn,3.0,17.0
Lemelpe Nu,3.0,16.0
Michael Rosen,3.0,16.0
Morris,3.0,16.0
Suzanna Strangmeier,3.0,16.0
Dolores Sustaita,3.0,15.0
Joel Bennett,3.0,15.0
Megan La,3.0,15.0
Racicot,3.0,15.0
Danny Conner,3.0,14.0
Gregory Carraway,3.0,14.0
Hagelmann,3.0,14.0
Irene Flynn,3.0,14.0
Jody Pierce,3.0,14.0
Wbooth Booth Law,3.0,14.0
Woulfe,3.0,14.0
Charlotte Kraham,3.0,13.0
Cross,3.0,13.0
Devin Hall,3.0,13.0
Gomez,3.0,13.0
Paul Garcia,3.0,13.0
Stock,3.0,13.0
Amosher Appanet,3.0,12.0
Ben Brasseaux,3.0,12.0
Bolt,3.0,12.0
Brad Nebergall,3.0,12.0
Cummings,3.0,12.0
Elliott,3.0,12.0
Jarx Pge,3.0,12.0
Marc Manly,3.0,12.0
Piropos Austin,3.0,12.0
Solis,3.0,12.0
Aaron Armstrong,3.0,11.0
Bill Berkeland,3.0,11.0
Bob Bandel,3.0,11.0
Lawrence Clayton,3.0,11.0
Mgrigsby Swbell,3.0,11.0
Rich Heidorn,3.0,11.0
Scott Gilchrist,3.0,11.0
Amccarty,3.0,10.0
Joe King,3.0,10.0
John Rutledge,3.0,10.0
Kathy Kokas,3.0,10.0
Madhur Dayal,3.0,10.0
Sherry Radack,3.0,10.0
Tjaeckle Jaecklewholesale,3.0,10.0
Tracy Ramsey,3.0,10.0
Ash Menon,3.0,9.0
Ayudkowsky Stroock,3.0,9.0
Bruce Tuttle,3.0,9.0
Christopher Coffman,3.0,9.0
Demetrios Fotiou,3.0,9.0
Dmoore Charter,3.0,9.0
Federico Cerisoli,3.0,9.0
Garry Wilson,3.0,9.0
Gustafson,3.0,9.0
John Best,3.0,9.0
Kwpope Pdq,3.0,9.0
Larry Snyder,3.0,9.0
Legale Black,3.0,9.0
Linda Hawkins,3.0,9.0
